"Month","Sales"
"1-01",1359.795
"1-02",1278.564
"1-03",1508.327
"1-04",1419.71
"1-05",1440.51
"1-06",1424.376
"1-07",1247.704
"1-08",495.498
"1-09",1278.119
"1-10",1428.715
"1-11",1221.37
"1-12",1314.325
"2-01",1528.94
"2-02",1486.73
"2-03",1606.325
"2-04",1545.355
"2-05",1489.075
"2-06",1667.295
"2-07",1198.295
"2-08",506.52
"2-09",1350.72
"2-10",1402.31
"2-11",1475.005
"2-12",1458.59
"3-01",1416.38
"3-02",1531.285
"3-03",1761.095
"3-04",1632.12
"3-05",1711.85
"3-06",1664.95
"3-07",1435.14
"3-08",572.18
"3-09",1477.35
"3-10",1622.74
"3-11",1730.61
"3-12",1641.5
"4-01",1554.735
"4-02",1739.99
"4-03",2002.63
"4-04",1648.535
"4-05",1657.915
"4-06",1948.695
"4-07",1292.095
"4-08",555.765
"4-09",1486.73
"4-10",1535.975
"4-11",1650.88
"4-12",1700.125
"5-01",1800.96
"5-02",1798.615
"5-03",1922.9
"5-04",1732.955
"5-05",1723.575
"5-06",1847.86
"5-07",1479.695
"5-08",581.56
"5-09",1564.115
"5-10",1648.535
"5-11",1716.54
"5-12",1690.745
"6-01",1915.865
"6-02",1925.245
"6-03",2007.32
"6-04",1892.415
"6-05",1376.515
"6-06",1749.37
"6-07",1728.265
"6-08",668.325
"6-09",1671.985
"6-10",2112.845
"6-11",1817.375
"6-12",1838.48
"7-01",2030.77
"7-02",1969.8
"7-03",2124.57
"7-04",1908.83
"7-05",1887.725
"7-06",2051.875
"7-07",1568.805
"7-08",811.37
"7-09",1627.43
"7-10",2061.255
"7-11",1636.81
"7-12",2164.435
"8-01",1789.235
"8-02",1990.905
"8-03",2117.535
"8-04",2021.39
"8-05",1667.295
"8-06",2042.495
"8-07",1571.15
"8-08",712.88
"8-09",1641.5
"8-10",1648.535
"8-11",1639.155
"8-12",1946.35
"9-01",1960.42
"9-02",1990.905
"9-03",2206.645
"9-04",1815.03
"9-05",1876
"9-06",2305.135
"9-07",1899.45
"9-08",511.21
"9-09",1906.485
"9-10",1798.615
"9-11",1840.825
"9-12",1972.145
"10-01",2012.01
"10-02",2424.73
"10-03",2413.005
"10-04",2080.015
"10-05",2061.255
"10-06",2483.355
"10-07",1807.995
"10-08",832.475
"10-09",1953.385
"10-10",2126.915
"10-11",2148.02
"10-12",2176.16
"11-01",2279.34
"11-02",2356.725
"11-03",2485.7
"11-04",2305.135
"11-05",2502.115
"11-06",2288.72
"11-07",2072.98
"11-08",785.575
"11-09",1995.595
"11-10",2940.63
"11-11",2912.49
"11-12",2680.335
"12-01",2743.65
"12-02",2417.695
"12-03",2649.85
"12-04",2309.825
"12-05",2640.47
"12-06",2366.105
"12-07",2084.705
"12-08",877.03
"12-09",2220.715
"12-10",2253.545
"12-11",1620.395
"12-12",1618.05
"13-01",1488.371
"13-02",1541.462
"13-03",1642.743